c,idnew,trtid4,geoid10
9,1266,06037430002,"06037430002"
9,1267,06037430003,"06037430003"
7,1268,06037430101,"06037430101"
4,1269,06037430102,"06037430102"
9,1270,06037430200,"06037430200"
11,1271,06037430301,"06037430301"
11,1272,06037430302,"06037430302"
8,1273,06037430400,"06037430400"
11,1274,06037430501,"06037430501"
11,1275,06037430502,"06037430502"
8,1276,06037430600,"06037430600"
8,1277,06037430701,"06037430701"
8,1278,06037430721,"06037430721"
8,1279,06037430723,"06037430723"
8,1280,06037430724,"06037430724"
8,1281,06037430801,"06037430801"
8,1282,06037430802,"06037430802"
8,1283,06037430803,"06037430803"
7,1284,06037430901,"06037430901"
9,1285,06037430902,"06037430902"
7,1286,06037431001,"06037431001"
11,1287,06037431002,"06037431002"
6,1288,06037431100,"06037431100"
6,1289,06037431200,"06037431200"
9,1290,06037431300,"06037431300"
9,1291,06037431400,"06037431400"
9,1292,06037431501,"06037431501"
9,1293,06037431502,"06037431502"
8,1294,06037431600,"06037431600"
8,1295,06037431700,"06037431700"
8,1296,06037431800,"06037431800"
8,1297,06037431900,"06037431900"
8,1298,06037432000,"06037432000"
8,1299,06037432101,"06037432101"
8,1300,06037432102,"06037432102"
8,1301,06037432201,"06037432201"
8,1302,06037432202,"06037432202"
9,1303,06037432300,"06037432300"
8,1304,06037432401,"06037432401"
9,1305,06037432402,"06037432402"
9,1306,06037432500,"06037432500"
9,1307,06037432601,"06037432601"
8,1308,06037432602,"06037432602"
10,1309,06037432700,"06037432700"
10,1310,06037432801,"06037432801"
10,1311,06037432802,"06037432802"
8,1312,06037432901,"06037432901"
8,1313,06037432902,"06037432902"
8,1314,06037433101,"06037433101"
8,1315,06037433102,"06037433102"
9,1316,06037433200,"06037433200"
4,1317,06037433302,"06037433302"
9,1318,06037433304,"06037433304"
9,1319,06037433305,"06037433305"
9,1320,06037433306,"06037433306"
9,1321,06037433307,"06037433307"
9,1322,06037433401,"06037433401"
10,1323,06037433402,"06037433402"
4,1324,06037433403,"06037433403"
4,1325,06037433501,"06037433501"
10,1326,06037433503,"06037433503"
10,1327,06037433504,"06037433504"
8,1328,06037433601,"06037433601"
8,1329,06037433602,"06037433602"
4,1330,06037433700,"06037433700"
4,1331,06037433801,"06037433801"
